,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Brucella melitensis,0,0,0,0,0,0,0,0,0,0,0
Devosia sp. A16,2,2,1,3,4,3,1,1,3,0,3
Devosia sp. YIM 151766,1,0,0,0,0,0,0,0,0,0,0
Roseibium aggregatum,2,0,0,0,1,0,0,0,1,1,0
Stappia sp. ES.058,1,0,0,0,0,0,0,0,0,0,0
Pannonibacter phragmitetus,0,0,0,0,0,0,0,0,1,0,0
Aureimonas populi,3,4,0,1,0,2,1,0,4,1,2
Chelatococcus daeguensis,1,0,0,0,0,0,0,0,0,0,0
Blastochloris tepida,2,3,3,1,3,4,0,2,1,1,1
Blastochloris viridis,1,0,0,1,0,1,0,1,2,0,1
Bartonella sp. HY038,2,0,1,0,2,1,0,0,1,1,0
uncultured Pleomorphomonas sp.,1,3,1,1,0,1,0,0,1,0,0
Acidisoma sp. PAMC 29798,10,6,2,6,12,5,0,1,5,4,3
Acidibrevibacterium fodinaquatile,7,9,1,12,10,5,2,4,10,0,6
Roseomonas fluvialis,2,2,1,1,0,1,1,0,0,0,0
Roseomonas marmotae,1,1,0,1,0,0,1,0,0,1,0
Gluconobacter albidus,5,3,2,3,2,3,2,2,1,0,1
Aristophania vespae,5,4,0,7,4,2,1,1,8,3,2
Acetobacter pomorum,1,2,0,3,1,1,0,0,1,0,0
Acetobacter aceti,1,1,0,0,3,0,0,0,1,1,2
Rhodovastum atsumiense,4,5,2,7,14,5,3,6,7,3,7
Granulibacter bethesdensis,2,1,0,0,0,0,0,0,0,0,0
Komagataeibacter nataicola,2,6,1,0,2,0,0,3,4,1,1
Novacetimonas hansenii,1,1,0,0,0,0,0,0,0,0,0
Neokomagataea tanensis,1,0,0,0,0,0,0,0,0,0,0
Gluconacetobacter diazotrophicus,0,0,0,0,0,0,0,0,0,0,0
Oecophyllibacter saccharovorans,1,2,0,0,0,0,0,0,0,1,0
Hypericibacter terrae,4,5,0,2,4,3,1,3,5,2,1
Hypericibacter adhaerens,4,4,5,6,10,5,3,1,8,2,0
Defluviicoccus vanus,9,13,3,4,9,11,6,3,19,2,4
Ferrovibrio terrae,3,1,0,2,1,2,1,2,5,1,0
Rhodospirillum rubrum,2,1,0,0,0,0,0,0,1,0,2
Candidatus Endolissoclinum faulkneri,1,0,0,1,0,0,1,0,0,0,1
Azospirillum argentinense,2,1,0,2,1,0,1,2,2,0,3
Azospirillum brasilense,1,0,0,1,0,0,0,1,2,0,0
Azospirillum thermophilum,1,0,0,0,0,0,0,0,0,0,0
Stella humosa,3,6,3,5,2,3,2,3,6,3,3
Tistrella mobilis,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas sp. HDW15A,2,0,0,0,0,1,0,0,1,0,0
Sphingomonas sp. CL5.1,2,2,0,1,1,0,0,0,0,0,0
Sphingomonas rhizophila,1,0,0,0,0,0,1,0,0,0,0
Sphingomonas profundi,1,0,0,0,0,1,1,0,0,0,0
Sandaracinobacteroides saxicola,3,2,1,2,4,1,2,0,4,2,1
Erythrobacter sp. A30-3,1,1,0,1,0,0,0,0,0,0,0
Wolbachia endosymbiont of Litomosoides sigmodontis,1,0,1,0,2,0,0,0,0,0,0
Candidatus Midichloria mitochondrii,0,0,0,0,0,0,0,0,0,0,0
Rickettsia rickettsii,1,0,0,0,0,0,0,0,0,0,0
Candidatus Cytomitobacter primus,4,1,1,1,3,0,0,3,0,1,1
endosymbiont of Acanthamoeba sp. UWC8,1,0,0,0,0,0,0,0,0,0,0
Candidatus Nesciobacter abundans,1,0,0,0,1,1,0,0,0,0,1
Paracoccus denitrificans,1,1,0,0,0,0,0,0,0,0,0
Frigidibacter mobilis,1,1,0,0,2,0,0,0,3,0,0
Thioclava electrotropha,1,1,0,0,5,2,0,1,4,2,1
Parasedimentitalea marina,1,3,1,0,1,0,1,1,4,0,0
Tabrizicola piscis,1,0,0,0,0,0,0,0,0,0,0
Phenylobacterium zucineum,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium sp. LH3H17,1,0,1,0,0,1,0,0,0,1,0
Caulobacter soli,1,0,0,0,0,0,0,0,0,0,0
Hyphomonas sp. Mor2,3,2,0,2,2,3,1,2,2,0,1
Candidatus Pelagibacter sp. IMCC9063,3,3,0,1,0,1,0,2,3,0,1
Cupriavidus taiwanensis,6,5,0,3,3,4,2,1,1,1,1
Cupriavidus necator,2,0,2,1,0,0,1,4,4,0,3
Cupriavidus metallidurans,2,3,0,1,0,0,0,0,1,0,3
Cupriavidus malaysiensis,1,0,1,0,1,1,0,1,1,1,0
Cupriavidus cauae,1,0,0,0,0,0,0,0,1,1,0
Burkholderia mallei,6,5,0,1,2,4,0,5,7,2,1
Burkholderia pseudomallei,4,5,2,1,3,7,2,3,7,3,2
Burkholderia thailandensis,0,1,0,1,4,1,1,1,8,2,3
Burkholderia cenocepacia,5,4,3,1,3,4,1,3,2,0,1
Burkholderia sp. FERM BP-3421,1,1,0,0,2,1,0,0,1,0,0
Burkholderia sp. MBR-1,1,0,0,0,0,1,0,0,0,0,1
Burkholderia sp. DHOD12,1,0,0,0,0,0,0,0,0,0,0
Paraburkholderia caribensis,3,1,0,3,5,1,1,2,1,0,2
Paraburkholderia acidisoli,2,0,0,0,1,0,0,1,2,0,0
Paraburkholderia dokdonensis,2,1,0,0,1,2,1,0,1,1,0
Paraburkholderia atlantica,1,0,0,0,0,0,0,0,0,0,0
Paraburkholderia caledonica,1,0,0,0,1,0,0,0,0,0,3
Paraburkholderia sp. FT54,1,0,0,0,0,0,0,1,0,0,0
Paraburkholderia pallida,1,0,0,0,1,0,0,0,0,0,0
Paraburkholderia terrae,1,0,0,0,0,0,0,0,1,0,1
Polynucleobacter necessarius,3,2,2,2,3,2,2,2,4,0,1
Ralstonia sp. RS647,2,9,0,2,3,6,2,6,10,4,2
Lautropia mirabilis,2,2,0,2,2,1,1,1,3,1,0
Comamonas thiooxydans,9,11,1,4,11,10,2,7,18,5,6
Comamonas sp. B21-038,7,3,0,4,7,5,1,0,12,3,0
Comamonas odontotermitis,4,1,0,0,2,1,1,1,3,0,0
Comamonas antarctica,4,12,1,1,6,2,1,3,9,2,1
Comamonas aquatica,2,2,0,0,3,1,0,0,3,0,1
Variovorax sp. SRS16,2,0,0,1,0,1,0,0,0,0,0
Variovorax sp. PAMC28562,1,0,1,1,0,0,2,1,1,0,0
Variovorax paradoxus,1,2,0,0,0,0,1,0,2,0,2
Kinneretia sp. XES5,5,7,0,1,8,6,1,3,8,4,2
Rhodoferax sp. AJA081-3,2,0,0,0,0,0,1,2,6,1,0
Rhodoferax sp. MIZ03,1,2,0,0,1,2,0,4,0,0,0
Rhodoferax sediminis,1,2,0,0,1,0,0,0,1,0,1
Ramlibacter tataouinensis,3,8,0,2,5,5,3,6,12,2,4
Alicycliphilus denitrificans,3,3,0,0,2,2,1,0,5,1,0
Simplicispira suum,3,4,0,2,1,2,0,1,3,3,0
Candidatus Symbiobacter mobilis,0,0,0,0,0,0,0,0,0,0,0
Ottowia oryzae,1,2,0,0,0,0,0,2,3,1,0
Verminephrobacter eiseniae,0,0,0,0,0,0,0,0,0,0,0
Basilea psittacipulmonis,0,0,0,0,0,0,0,0,0,0,0
Bordetella holmesii,2,0,0,1,0,0,0,0,2,1,0
Bordetella bronchiseptica,0,0,0,0,0,0,0,0,0,0,0
Bordetella parapertussis,1,0,0,0,0,0,0,0,0,0,0
Bordetella pertussis,1,1,1,0,1,0,1,0,1,1,0
Achromobacter denitrificans,2,0,0,0,2,1,0,0,2,1,1
Achromobacter insolitus,1,2,1,1,1,3,1,1,4,1,1
Pigmentiphaga sp. H8,2,0,0,0,0,1,1,0,1,0,0
Orrella marina,2,1,2,1,2,0,0,2,0,0,1
Alcaligenes faecalis,1,1,1,1,1,0,0,1,1,0,0
Oligella urethralis,1,1,0,1,0,0,0,1,1,0,0
Oxalobacter aliiformigenes,6,10,0,3,8,9,4,3,10,5,1
Oxalobacter vibrioformis,1,2,2,1,1,0,1,3,5,0,0
Massilia sp. PAMC28688,2,3,0,0,2,1,1,0,0,1,0
Massilia sp. NR 4-1,1,0,0,0,0,0,0,1,0,0,0
Rugamonas sp. DEMB1,2,2,0,1,4,1,0,3,10,2,0
Janthinobacterium sp. 17J80-10,2,0,1,0,1,0,0,0,0,0,0
Collimonas pratensis,1,0,1,0,5,1,0,3,2,1,0
Thiomonas sp. X19,9,7,2,2,7,4,3,5,13,5,5
Tepidimonas taiwanensis,3,4,0,0,2,3,0,2,2,1,0
Rhizobacter gummiphilus,1,0,0,0,0,1,1,1,1,0,0
Sutterella megalosphaeroides,5,3,0,0,5,1,1,4,4,2,2
Piscinibacter sp. XHJ-5,2,2,0,0,3,2,0,3,3,2,1
Ideonella dechloratans,1,4,0,0,0,1,2,6,7,3,2
Sideroxydans sp. CL21,7,8,1,5,9,2,3,3,7,1,2
Sideroxydans lithotrophicus,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nitrotoga arctica,5,5,0,0,9,6,3,2,11,1,0
Ferrigenium kumadai,3,8,2,4,10,2,2,0,12,3,1
Gallionella capsiferriformans,0,0,0,0,0,0,0,0,0,0,0
Sideroxyarcus emersonii,1,0,0,0,1,0,1,3,2,0,0
Nitrosomonas eutropha,0,0,0,0,0,0,0,0,0,0,0
Nitrosomonas sp. sh817,1,1,0,0,0,0,0,1,0,1,0
Nitrosospira multiformis,0,0,0,0,0,0,0,0,0,0,0
Usitatibacter rugosus,7,6,1,0,3,4,1,1,9,1,1
Usitatibacter palustris,2,1,0,0,5,0,0,0,2,2,0
Denitratisoma oestradiolicum,3,1,1,0,1,0,0,2,0,0,2
Sulfuritalea hydrogenivorans,0,0,0,0,0,0,0,0,0,0,0
Sulfuriferula sp. AH1,1,0,1,0,2,0,0,0,1,0,0
Sulfurimicrobium lacus,2,0,0,0,0,0,0,1,0,0,0
Thiobacillus denitrificans,0,0,0,0,0,0,0,0,0,0,0
Sulfuritortus calidifontis,1,1,1,0,0,3,0,0,3,2,0
Methylobacillus flagellatus,0,0,0,0,0,0,0,0,0,0,0
Methyloradius palustris,1,0,0,1,2,2,1,0,3,0,1
Niveibacterium microcysteis,8,10,0,4,7,5,2,10,19,2,2
Azospira restricta,3,0,0,0,2,2,0,2,4,0,2
Pseudazoarcus pumilus,4,11,2,2,2,5,3,9,10,3,4
Fluviibacter phosphoraccumulans,1,0,0,0,1,0,0,1,0,0,0
Neisseria gonorrhoeae,2,0,0,0,0,1,0,2,4,0,3
Neisseria meningitidis,1,3,0,1,3,3,0,1,3,3,1
Neisseria sp. Dent CA1/247,1,0,0,0,0,0,0,0,0,0,0
Alysiella crassa,1,2,1,1,2,1,0,1,1,0,0
Iodobacter fluviatilis,1,0,0,0,1,0,1,1,3,0,0
Chitinibacter bivalviorum,1,0,0,0,1,0,0,0,0,0,0
Chitinimonas koreensis,1,2,0,0,0,2,0,1,2,0,0
Candidatus Profftella armatura (Diaphorina cf. continua),1,0,0,0,0,0,0,0,0,0,0
Escherichia coli,22,21,6,18,27,20,7,12,31,12,8
Escherichia albertii,1,1,1,1,0,0,0,0,1,0,1
Klebsiella pneumoniae,16,16,3,12,9,15,7,9,21,7,33
Klebsiella aerogenes,1,1,0,0,1,1,0,0,0,0,0
Klebsiella variicola,1,5,1,1,3,0,1,1,3,2,2
Klebsiella michiganensis,1,0,0,0,0,0,0,1,0,0,0
Klebsiella quasipneumoniae,1,1,1,0,1,0,0,0,2,2,0
Enterobacter hormaechei,12,2,3,1,1,0,0,0,2,0,1
Enterobacter asburiae,1,1,0,0,0,0,0,0,0,0,0
Enterobacter ludwigii,1,0,0,0,3,0,1,0,2,2,0
Enterobacter sp. SES19,1,0,0,0,1,0,0,0,0,0,0
Salmonella enterica,2,2,0,0,1,1,0,2,3,1,2
Citrobacter sp. S171,3,1,1,2,1,4,1,1,4,1,1
Citrobacter freundii,1,2,1,0,3,1,0,1,2,0,2
Enterobacteriaceae endosymbiont of Donacia piscatrix,1,0,0,0,0,0,0,0,0,0,0
Candidatus Moranella endobia,1,2,2,3,5,2,1,0,1,1,2
Arsenophonus nasoniae,4,3,1,2,3,1,0,0,6,1,0
Morganella morganii,2,1,2,1,4,3,0,0,0,1,0
Proteus mirabilis,2,2,0,0,2,0,1,2,3,0,1
Proteus terrae,0,0,0,0,0,0,0,0,0,0,0
Serratia marcescens,1,2,0,0,0,0,0,1,0,1,1
Serratia symbiotica,1,2,0,1,2,1,0,0,1,1,0
Serratia plymuthica,0,0,0,0,0,0,0,0,0,0,0
Serratia odorifera,1,1,0,0,0,1,0,0,0,1,1
Yersinia pseudotuberculosis,0,0,0,1,0,0,0,0,0,0,0
Brenneria rubrifaciens,2,0,0,0,0,0,0,0,0,0,0
Pectobacterium versatile,2,3,0,0,1,1,0,0,1,0,0
Erwinia sp. Ejp617,1,1,1,0,1,0,1,0,1,0,0
Stenotrophomonas sp. DFS-20110405,4,1,0,0,0,2,0,2,1,1,0
Stenotrophomonas sp. SI-NJAU-1,1,0,0,0,1,0,0,1,0,0,0
Stenotrophomonas maltophilia,4,1,0,0,3,1,0,0,4,0,0
Stenotrophomonas pavanii,1,0,0,0,0,0,0,0,2,0,0
Stenotrophomonas indicatrix,1,0,0,0,0,0,0,0,1,0,0
Pseudolysobacter antarcticus,7,5,0,1,3,3,4,2,7,1,2
Lysobacter luteus,3,1,1,1,0,2,0,1,1,1,0
Lysobacter solisilvae,2,2,0,0,0,0,0,0,4,0,0
Lysobacter lycopersici,1,0,0,0,0,0,0,0,1,0,0
Xanthomonas translucens,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas citri,0,0,0,0,0,0,0,0,0,0,0
Xylella taiwanensis,1,0,0,0,0,1,0,0,1,0,0
Luteimonas sp. JM171,1,0,0,0,0,0,0,0,0,0,0
Dokdonella koreensis,0,0,0,0,0,0,0,0,0,0,0
Tahibacter amnicola,1,0,0,0,0,0,0,2,2,0,0
Steroidobacter denitrificans,22,11,4,6,5,7,2,19,18,4,16
Sinimarinibacterium sp. NLF-5-8,1,0,0,1,0,0,0,0,0,0,1
Flagellatimonas centrodinii,1,0,0,0,1,0,0,0,1,0,0
Vibrio sp. ED004,3,0,2,2,3,1,1,2,4,0,0
Vibrio sp. ED002,1,0,0,0,0,0,0,0,0,0,0
Vibrio harveyi,1,0,0,2,0,1,1,0,4,0,0
Vibrio campbellii,1,0,0,0,0,1,0,0,0,2,0
Vibrio alfacsensis,3,0,1,0,1,0,0,0,0,0,1
Vibrio taketomensis,2,4,0,0,3,2,1,0,0,1,0
Vibrio penaeicida,1,0,0,0,0,1,0,1,1,0,0
Vibrio nigripulchritudo,1,1,0,0,2,2,0,0,0,1,0
Photobacterium leiognathi,0,1,0,1,0,0,0,0,0,0,0
Photobacterium damselae,0,0,0,0,0,0,0,0,0,0,0
Photobacterium gaetbulicola,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nitrosacidococcus tergens,5,3,0,0,7,6,1,0,0,2,1
Candidatus Nitrosoglobus terrae,3,0,0,0,0,0,0,0,1,0,1
Caldichromatium japonicum,3,4,1,2,5,6,1,2,6,2,1
Halorhodospira halophila,0,0,0,0,0,0,0,0,0,0,0
Woeseia oceani,1,1,1,0,0,0,0,0,0,0,0
Guyparkeria halophila,1,0,0,1,0,0,0,0,0,0,0
Sulfuricaulis limicola,1,2,1,1,2,1,0,1,3,0,1
Rickettsiella endosymbiont of Dermanyssus gallinae,4,0,0,0,2,0,0,0,0,0,1
Candidatus Rickettsiella viridis,1,0,0,0,0,0,0,0,0,0,0
Legionella longbeachae,2,0,0,0,0,0,0,0,1,0,0
Legionella waltersii,2,2,2,0,5,4,1,1,1,0,1
Legionella israelensis,1,0,0,0,0,0,0,1,0,0,0
Legionella lansingensis,1,0,0,0,0,0,0,0,0,0,0
Halomonas sp. ZZQ-149,1,0,1,0,1,0,0,0,2,0,1
Acinetobacter baumannii,8,9,6,7,7,5,4,6,12,2,6
Acinetobacter calcoaceticus,1,0,0,0,1,0,0,0,0,0,0
Acinetobacter indicus,1,0,0,0,0,0,0,0,0,0,0
Acinetobacter towneri,1,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp. AOR07_HL,1,0,0,0,0,1,0,0,0,0,1
Pseudoalteromonas piscicida,4,5,0,2,4,2,0,1,2,0,1
Pseudoalteromonas sp. A41-2,1,0,0,0,0,1,0,1,1,0,0
Alteromonas sp. KC14,1,0,0,0,0,0,0,0,0,0,0
Shewanella sp. ANA-3,1,0,0,0,1,0,0,0,0,0,0
Pseudomonas sp. BSw22131,2,1,0,0,1,0,1,0,1,0,0
Pseudomonas sp. SWI6,2,1,0,1,2,0,0,0,3,0,0
Pseudomonas sp. RU47,1,0,0,0,0,0,0,0,0,0,0
Pseudomonas sp. FP2262,1,0,0,0,1,0,0,1,1,0,0
Pseudomonas sp. FP453,1,0,0,0,0,0,0,1,0,1,0
Pseudomonas sp. S150,1,2,0,0,1,3,0,2,2,0,0
Pseudomonas aeruginosa,2,2,1,1,0,7,0,4,7,2,7
Pseudomonas bijieensis,1,0,0,0,0,0,0,0,1,0,0
Methylomonas rapida,1,0,0,0,0,0,0,0,0,0,1
Methylomarinovum sp. IN45,2,1,0,1,2,1,0,0,2,0,0
Aeromonas caviae,2,0,2,0,1,3,0,0,1,0,0
Aeromonas salmonicida,1,9,0,0,6,2,3,45,10,0,0
Pasteurella multocida,2,0,0,0,1,1,0,0,1,0,0
Haemophilus parainfluenzae,1,1,0,0,1,0,0,0,1,1,0
Mergibacter septicus,1,1,0,0,1,1,0,0,0,0,0
Candidatus Paraluminiphilus aquimaris,1,1,0,1,0,0,0,0,0,0,0
Wohlfahrtiimonas chitiniclastica,2,0,0,2,0,1,0,0,0,0,0
Francisella philomiragia,1,0,0,0,0,0,0,0,0,0,0
Candidatus Vesicomyosocius sp. SY067_SCS001,1,3,0,0,1,0,1,0,1,0,0
Telmatocola sphagniphila,154,179,31,51,207,130,40,91,270,115,66
Limnoglobus roseus,86,81,16,28,99,74,16,44,154,46,43
Gemmata obscuriglobus,36,45,8,15,42,27,13,18,51,30,12
Urbifossiella limnaea,39,69,7,18,82,47,14,33,92,34,28
Tuwongella immobilis,25,24,7,11,23,29,13,17,42,19,10
Frigoriglobus tundricola,3,11,0,1,11,3,2,1,12,4,2
Aquisphaera giovannonii,104,143,27,23,151,83,53,99,164,67,71
Singulisphaera acidiphila,0,0,0,0,0,0,0,0,0,0,0
Paludisphaera borealis,39,54,12,6,52,29,23,17,54,20,25
Tautonia plasticadhaerens,16,25,3,2,22,12,11,16,28,8,13
Isosphaera pallida,0,0,0,0,0,0,0,0,0,0,0
Planctomyces sp. SH-PL14,4,8,3,9,8,1,1,4,12,3,10
Planctomyces sp. SH-PL62,1,13,1,0,10,4,3,4,5,4,3
Gimesia aquarii,2,3,0,4,0,4,0,1,5,4,1
Gimesia algae,1,0,0,0,0,0,0,0,0,0,0
Fuerstiella marisgermanici,3,2,1,1,2,0,1,2,6,0,2
Alienimonas californiensis,3,2,3,4,4,3,0,5,10,2,3
Caulifigura coniformis,2,7,4,7,9,6,1,2,7,2,12
Thalassoglobus polymorphus,2,2,0,1,4,3,0,1,3,2,1
Calycomorphotria hydatis,1,3,0,2,0,0,1,1,2,0,0
Symmachiella dynata,1,1,0,4,0,0,1,1,3,1,0
Pirellula staleyi,0,0,0,0,0,0,0,0,0,0,0
Pirellula sp. SH-Sr6A,1,2,1,3,0,0,0,0,2,0,2
Anatilimnocola aggregata,5,12,5,12,7,9,1,7,15,3,12
Rosistilla ulvae,2,2,0,1,2,2,0,2,1,0,1
Mariniblastus fucicola,1,4,0,1,1,2,1,0,2,0,1
Aureliella helgolandensis,1,2,2,2,4,2,1,3,6,1,4
Aeoliella mucimassa,1,0,0,0,0,0,0,0,0,0,0
Adhaeretor mobilis,1,0,0,1,0,0,0,0,0,0,1
Thermogutta terrifontis,1,1,0,0,3,0,3,0,1,0,0
Humisphaera borealis,15,14,2,38,20,6,7,10,39,2,18
Mucisphaera calidilacus,3,1,0,2,3,2,1,0,2,0,2
Phycisphaera mikurensis,0,0,0,0,0,0,0,0,0,0,0
Poriferisphaera corsica,1,0,0,1,0,0,0,0,0,0,0
Limihaloglobus sulfuriphilus,3,3,0,3,3,0,1,2,4,0,4
Anaerohalosphaera lusitana,1,2,0,1,3,1,0,2,2,1,1
Candidatus Kuenenia stuttgartiensis,5,8,0,5,6,2,2,1,9,3,1
Candidatus Uabimicrobium amorphum,2,1,2,0,0,0,1,1,4,0,0
Fontisphaera persica,82,25,36,23,14,20,6,28,68,3,16
Verrucomicrobium spinosum,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobium sp. GAS474,17,6,6,6,4,3,3,1,9,2,4
Luteolibacter sp. SL250,3,1,1,0,0,0,0,1,0,0,1
Luteolibacter luteus,2,2,3,0,1,2,1,0,2,0,1
Roseimicrobium sp. ORNL1,3,6,9,4,1,4,1,2,8,0,2
Ereboglobus luteus,11,5,9,11,1,2,2,3,10,2,1
Opitutus terrae,0,0,0,0,0,0,0,0,0,0,0
Opitutus sp. GAS368,2,0,1,0,2,0,1,1,5,0,0
Horticoccus luteus,2,2,0,0,0,0,0,0,2,0,0
Nibricoccus aquaticus,1,0,0,3,1,1,0,0,2,1,0
Coraliomargarita akajimensis,0,0,0,0,0,0,0,0,0,0,0
Candidatus Xiphinematobacter sp. Idaho Grape,6,2,1,1,1,2,0,0,2,1,2
Methylacidimicrobium sp. AP8,1,0,0,0,1,0,0,0,0,0,0
Candidatus Velamenicoccus archaeovorus,1,2,0,0,1,0,0,2,4,0,0
Candidatus Koribacter versatilis,0,0,0,0,0,0,0,0,0,0,0
Occallatibacter riparius,61,53,16,17,68,65,25,36,110,26,39
Acidisarcina polymorpha,12,15,6,3,22,16,7,8,22,6,8
Edaphobacter flagellatus,6,5,1,0,8,1,4,2,10,4,2
Edaphobacter lichenicola,1,3,0,1,0,1,0,0,2,0,2
Terriglobus saanensis,0,0,0,0,0,0,0,0,0,0,0
Terriglobus roseus,0,0,0,0,0,0,0,0,0,0,0
Terriglobus albidus,1,6,1,0,1,4,2,4,5,1,0
Acidobacterium capsulatum,0,0,0,0,0,0,0,0,0,0,0
Granulicella mallensis,0,0,0,0,0,0,0,0,0,0,0
Granulicella sp. 5B5,1,2,0,1,2,0,2,3,3,1,2
Paludibaculum fermentans,164,129,40,59,151,129,62,95,241,73,45
Luteitalea sp. TBR-22,22,16,6,11,17,19,9,11,43,15,11
Luteitalea pratensis,16,25,4,17,17,26,10,9,27,4,11
Geothrix sp.,1,0,0,0,1,0,0,0,1,1,0
Sulfidibacter corallicola,4,4,0,2,0,3,3,1,7,2,1
Niabella ginsenosidivorans,36,21,7,9,33,25,6,17,58,9,14
Niabella soli,0,0,0,0,0,0,0,0,0,0,0
Ferruginibacter albus,25,31,9,5,29,21,15,10,43,5,16
Ferruginibacter lapsinanis,8,4,1,1,2,6,2,6,8,1,3
Chitinophaga sp. XS-30,8,3,2,1,4,4,0,6,17,3,3
Chitinophaga sp. HK235,5,3,1,3,4,2,0,4,3,2,2
Chitinophaga sp. MD30,2,2,0,0,0,2,0,1,2,0,1
Chitinophaga caeni,2,2,0,0,0,0,0,0,2,0,0
Chitinophaga horti,2,0,1,1,0,0,0,0,1,0,1
Chitinophaga pinensis,0,0,0,0,0,0,0,0,0,0,0
Chitinophaga filiformis,1,1,0,0,1,0,1,0,0,0,0
Paraflavitalea soli,12,18,6,2,11,7,2,2,22,1,9
Thermoflavifilum sp.,11,13,2,4,8,10,3,4,31,3,13
Flavisolibacter tropicus,6,1,1,2,4,2,1,1,4,1,1
Flavisolibacter ginsenosidimutans,3,4,0,2,2,3,1,6,8,2,2
Niastella koreensis,0,0,0,0,0,0,0,0,0,0,0
Panacibacter ginsenosidivorans,6,8,1,0,6,2,0,1,10,0,1
Sediminibacterium sp. TEGAF015,6,3,1,2,1,4,2,3,11,1,3
Pseudobacter ginsenosidimutans,5,9,0,3,6,4,2,6,9,5,1
Flavihumibacter rivuli,2,1,0,1,0,1,1,0,6,0,1
Flavihumibacter fluvii,2,0,0,0,1,0,1,2,2,0,0
Lacibacter sp. S13-6-22,4,2,0,0,2,5,3,4,13,1,1
Arachidicoccus sp. B3-10,2,0,0,0,0,0,0,0,2,0,1
Muribaculum intestinale,4,2,1,0,0,1,1,0,2,0,0
Muribaculum gordoncarteri,4,6,1,2,2,0,0,0,5,1,2
Parabacteroides chongii,3,1,0,1,0,3,2,1,2,0,2
Parabacteroides distasonis,2,0,0,0,0,1,0,0,1,0,0
Parabacteroides goldsteinii,1,0,0,0,0,0,0,0,0,0,0
Bacteroides eggerthii,1,0,0,0,0,0,0,0,0,0,1
Paludibacter propionicigenes,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium sp. ZE23DGlu08,3,1,0,1,0,0,1,1,6,1,3
Flavobacterium sp. K5-23,2,0,0,0,0,0,0,0,1,0,0
Flavobacterium sp. F-323,1,1,0,0,0,0,0,2,0,0,1
Flavobacterium sp. N1994,1,0,0,0,0,0,0,1,0,0,0
Flavobacterium columnare,1,0,0,0,0,1,0,0,0,0,0
Flavobacterium davisii,1,0,0,0,0,0,0,0,1,0,0
Flavobacterium alkalisoli,1,1,1,0,0,0,0,0,2,0,0
Capnocytophaga canimorsus,1,0,0,0,1,0,0,0,1,0,0
Candidatus Karelsulcia muelleri,2,1,0,2,2,1,0,0,2,0,1
Owenweeksia hongkongensis,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium manosquense,1,1,0,1,1,0,1,0,0,0,0
Adhaeribacter swui,1,0,0,0,0,0,0,0,4,0,0
Pontibacter sp. SGAir0037,1,0,0,0,0,0,0,0,1,0,0
Rhodocytophaga rosea,1,0,1,0,0,0,0,0,3,0,0
Tellurirhabdus rosea,1,0,0,0,0,0,0,0,1,0,0
Fulvivirga lutea,1,0,0,0,1,0,0,0,9,0,0
Chryseolinea soli,1,0,1,2,1,0,0,2,8,0,0
Arcticibacterium luteifluviistationis,1,0,0,1,0,0,0,0,0,0,0
Candidatus Amoebophilus asiaticus,0,0,0,0,0,0,0,0,0,0,0
Tunicatimonas pelagia,1,0,0,0,0,0,0,0,0,0,0
Aureispira sp. EL160426,2,0,0,0,1,2,0,1,2,0,1
Anseongella ginsenosidimutans,2,0,0,2,0,1,0,0,3,1,0
Olivibacter sp. SDN3,1,0,0,0,0,0,0,0,1,0,0
Mucilaginibacter sp. 21P,1,0,0,0,1,0,0,0,1,0,0
Candidatus Sulfidibacterium hydrothermale,1,0,0,0,0,0,0,0,0,0,0
Gemmatimonas phototrophica,16,9,2,13,9,11,5,5,21,4,3
Gemmatimonas aurantiaca,0,0,0,0,0,0,0,0,0,0,0
Gemmatirosa kalamazoonensis,23,21,9,22,11,17,10,23,26,7,12
Sorangium cellulosum,8,4,5,3,8,4,2,3,7,2,1
Chondromyces crocatus,7,8,4,4,13,12,0,0,5,1,9
Pajaroellobacter abortibovis,6,8,1,3,5,0,2,1,12,2,1
Polyangium aurulentum,5,7,5,4,8,2,0,2,8,1,3
Labilithrix luteola,12,13,1,2,14,6,2,6,16,6,6
Sandaracinus amylolyticus,10,8,6,5,7,9,5,4,10,7,1
Haliangium ochraceum,0,0,0,0,0,0,0,0,0,0,0
Nannocystis poenicansa,6,4,1,4,7,8,0,1,7,3,1
Anaeromyxobacter paludicola,2,0,0,2,1,1,4,2,1,1,1
Anaeromyxobacter oryzae,1,0,0,1,1,0,0,0,0,1,0
Stigmatella aurantiaca,0,0,0,0,0,0,0,0,0,0,0
Cystobacter fuscus,1,0,0,1,0,0,1,0,0,0,1
Myxococcus xanthus,1,0,0,0,0,0,0,0,0,0,0
Geobacter sp. SVR,27,29,10,15,30,18,16,10,40,5,5
